timesteps,ep_rew_mean,ep_len_mean
2048,-247.10227745000003,50.0
4096,-240.1444964197531,49.97530864197531
6144,-241.99456444000003,49.98
8192,-241.70638904,49.96
10240,-236.4872775,49.95
12288,-241.49867465000003,49.99
14336,-240.03157577,49.99
16384,-239.50899662000006,49.98
18432,-240.21415752999997,49.98
20480,-234.71559076999998,49.89
22528,-224.22494737,49.79
24576,-218.05023498000003,49.51
26624,-219.59002799,49.42
28672,-220.47040059000003,49.59
30720,-209.54098683999993,49.45
32768,-215.48507089000003,49.59
34816,-211.08311126000004,49.69
36864,-219.49370808000003,49.65
38912,-211.58945486999997,49.32
40960,-172.4043409,48.32
43008,-157.78736775,48.19
45056,-158.5996751,48.21
47104,-148.63032938,48.14
49152,-176.11654057999996,48.97
51200,-186.74494404,49.06
53248,-181.19685245999997,48.72
55296,-137.31989071,47.86
57344,-130.46358817,47.46
59392,-118.20879429999997,47.21
61440,-116.73009477999996,46.93
63488,-116.10609938000003,46.8
65536,-116.87918634999998,47.0
67584,-112.75550641999999,47.26
69632,-94.95087295000002,46.85
71680,-91.47552215,47.11
73728,-87.95249882999998,47.17
75776,-92.06762635000001,46.75
77824,-67.72210848,45.97
79872,-0.7927181199999968,44.8
81920,11.209317559999997,44.62
83968,-35.435367729999996,44.88
86016,-22.712310979999998,44.32
88064,4.966664599999998,43.9
90112,57.99880311999999,43.39
92160,103.03109982000002,42.37
94208,46.86032960000001,43.6
96256,24.42223999,43.9
98304,39.14641289,43.12
100352,48.401328219999996,43.28
102400,54.116601970000005,42.92
104448,47.58264163999999,42.26
106496,86.60558342,41.61
108544,132.67378275,40.32
110592,99.94821452000002,40.84
112640,117.03870371,40.41
114688,162.68780089,39.13
116736,161.5788512,39.34
118784,135.77254729999999,39.56
120832,155.29028234,38.64
122880,198.60304066,36.88
124928,241.35406247999998,35.29
126976,186.67765547000002,37.34
129024,165.66285469,38.73
131072,214.56326031000003,37.91
133120,223.32346048999997,37.05
135168,218.46790474999997,36.94
137216,231.52420950999996,35.27
139264,261.32219624000004,34.34
141312,271.37251259,34.39
143360,288.65026435000004,34.0
145408,297.78049952,32.14
147456,270.35882891999995,33.59
149504,312.40209431,32.35
151552,331.60048071000006,31.47
153600,319.69221674,30.8
155648,323.71415893,30.85
157696,334.36814396,30.89
159744,331.69409247999994,30.48
161792,345.56442496999995,28.58
163840,339.67512447,28.79
165888,350.76873749999993,27.5
167936,366.82005446999995,27.34
169984,375.0016211900001,25.51
172032,377.64739775000004,24.97
174080,377.37844987000005,25.09
176128,375.91818617000007,25.34
178176,375.35987073999996,24.45
180224,374.2671715700001,24.71
182272,379.83146129999994,24.69
184320,388.6687959399999,22.83
186368,383.6788616200001,22.89
188416,391.72664624000004,22.2
190464,384.79424654,23.65
192512,390.59406533000003,22.34
194560,396.7416470999999,21.2
196608,394.55082204999997,21.61
198656,397.00536795,21.23
200704,400.1326925999999,20.59
