timesteps,ep_rew_mean,ep_len_mean
2048,-236.21951219512195,49.68292682926829
4096,-235.609756097561,49.5609756097561
6144,-222.55,49.51
8192,-200.85,49.17
10240,-212.4,49.48
12288,-228.2,49.64
14336,-233.35,49.67
16384,-227.4,49.48
18432,-232.85,49.57
20480,-223.0,49.6
22528,-212.3,49.46
24576,-206.9,49.38
26624,-189.75,48.95
28672,-196.25,49.25
30720,-202.45,49.49
32768,-174.85,48.97
34816,-168.1,48.62
36864,-194.25,48.85
38912,-188.55,48.71
40960,-188.8,48.76
43008,-162.65,48.53
45056,-174.85,48.97
47104,-185.7,49.14
49152,-150.8,48.16
51200,-145.35,48.07
53248,-135.5,48.1
55296,-153.15,48.63
57344,-173.7,48.74
59392,-176.45,48.29
61440,-128.95,46.79
63488,-104.45,46.89
65536,-104.85,47.97
67584,-82.75,47.55
69632,-89.5,47.9
71680,-106.55,47.31
73728,-129.4,46.88
75776,-132.35,47.47
77824,-115.35,47.07
79872,-69.25,45.85
81920,-57.3,45.46
83968,-48.45,45.69
86016,-14.95,44.99
88064,-17.5,44.5
90112,-39.9,44.98
92160,-4.7,43.94
94208,37.25,42.55
96256,8.95,43.21
98304,-39.75,43.95
100352,35.25,42.95
102400,89.25,42.15
104448,66.0,42.8
106496,32.65,43.47
108544,89.6,41.08
110592,145.55,39.89
112640,156.3,39.74
114688,130.1,39.98
116736,81.75,41.65
118784,114.2,41.16
120832,134.85,40.03
122880,99.05,40.19
124928,160.75,38.85
126976,181.45,38.71
129024,174.9,38.02
131072,187.2,37.56
133120,229.6,36.08
135168,247.75,35.45
137216,198.75,37.25
139264,241.4,34.72
141312,238.45,35.31
143360,238.85,36.23
145408,239.55,36.09
147456,250.35,34.93
149504,293.95,32.21
151552,299.1,32.18
153600,291.8,32.64
155648,294.85,33.03
157696,284.75,32.05
159744,254.1,34.18
161792,304.2,32.16
163840,316.55,31.69
165888,318.7,31.26
167936,317.9,30.42
169984,335.6,29.88
172032,345.75,29.85
174080,353.8,28.24
176128,366.75,26.65
178176,359.5,27.1
180224,371.25,25.75
182272,372.05,25.59
184320,367.6,25.48
186368,370.0,25.0
188416,369.4,25.12
190464,379.1,24.18
192512,381.15,23.77
194560,381.05,23.79
196608,386.9,22.62
198656,391.15,21.77
200704,395.3,20.94
